"","label","type"
"1","Record ID","id"
"2","Owner ID","reference"
"3","Deleted","boolean"
"4","AOFU Name","string"
"5","Created Date","datetime"
"6","Created By ID","reference"
"7","Last Modified Date","datetime"
"8","Last Modified By ID","reference"
"9","System Modstamp","datetime"
"10","Reasons for no adoption","multipicklist"
"11","Date of colection","date"
"12","Type","picklist"
"13","Surveyor","reference"
"14","Compliance with FDP","picklist"
"15","Farmer","reference"
"16","Drainnage need","picklist"
"17","Farm Condition","picklist"
"18","AO diagnostic","reference"
"19","Plot Name","string"
"20","FU Year","string"
"21","Notes","textarea"
"22","Debilitating Disease","picklist"
"23","Fertilizer Application","picklist"
"24","Fertilizer Formulation","picklist"
"25","GAPS","picklist"
"26","Genetic of Plant Material","picklist"
"27","Harvesting","picklist"
"28","Organic Matter","picklist"
"29","Pest and Disease and Sanitation","picklist"
"30","Planting Material","picklist"
"31","Pruning","picklist"
"32","Shade Management","picklist"
"33","Soil Condition","picklist"
"34","Soil Fertility Management","picklist"
"35","Tree age","picklist"
"36","Tree density","picklist"
"37","Tree health","picklist"
"38","Weeding","picklist"
