"","label","type"
"1","Record ID","id"
"2","Deleted","boolean"
"3","FDP calendar Name","string"
"4","Created Date","datetime"
"5","Created By ID","reference"
"6","Last Modified Date","datetime"
"7","Last Modified By ID","reference"
"8","System Modstamp","datetime"
"9","Last Activity Date","date"
"10","Last Viewed Date","datetime"
"11","Last Referenced Date","datetime"
"12","FDP","reference"
"13","Recommendation","reference"
"14","Year","double"
"15","Month","string"
"16","Labor cost","double"
"17","Input cost","double"
