"","label","type"
"1","Record ID","id"
"2","Deleted","boolean"
"3","Farm Baseline","string"
"4","Created Date","datetime"
"5","Created By ID","reference"
"6","Last Modified Date","datetime"
"7","Last Modified By ID","reference"
"8","System Modstamp","datetime"
"9","Farm","reference"
"10","Total Cocoa Area","double"
"11","Total Renovation Area","double"
"12","Have Aditional Crops","picklist"
"13","Aditional Crops","multipicklist"
"14","Total Area other crops","double"
"15","Family members work on farm","double"
"16","Hire labor","picklist"
"17","How many labor days hire","double"
"18","Total Production of cocoa last year","double"
"19","Average Farm gate cocoa price","double"
"20","Number of plots","double"
"21","Initial baseline","double"
"22","Last baseline","double"
"23","Productivity","double"
"24","FDP submission","reference"
"25","Agreed on recommendations","picklist"
"26","Reason no agreement with FDP","picklist"
"27","Production if last baseline","double"
"28","Total land under cultivation (Ha)","double"
