"","label","type"
"1","Record ID","id"
"2","Deleted","boolean"
"3","Farm Name","string"
"4","Created Date","datetime"
"5","Created By ID","reference"
"6","Last Modified Date","datetime"
"7","Last Modified By ID","reference"
"8","System Modstamp","datetime"
"9","Last Viewed Date","datetime"
"10","Last Referenced Date","datetime"
"11","Farmer","reference"
"12","Submission","reference"
"13","Village","reference"
"14","GPS (Latitude)","double"
"15","GPS (Longitude)","double"
"16","GPS","location"
"17","Farm year of establishment","double"
"18","Total farm area","double"
"19","Farm Certifications","multipicklist"
"20","District","string"
"21","Country","string"
"22","Initial baseline date","datetime"
"23","Last baseline date","datetime"
"24","Count Farm","double"
"25","UTZ","string"
"26","Rainforest Alliance","string"
"27","Plots","double"
"28","FDP submission","reference"
"29","Total input cost","double"
"30","Total labor cost","double"
"31","Total cost","double"
"32","Production - last baseline","double"
"33","Last II visit date","datetime"
"34","Year of establishment","double"
"35","Farm age","double"
