"","label","type"
"1","Record ID","id"
"2","Deleted","boolean"
"3","P&L Name","string"
"4","Created Date","datetime"
"5","Created By ID","reference"
"6","Last Modified Date","datetime"
"7","Last Modified By ID","reference"
"8","System Modstamp","datetime"
"9","Last Viewed Date","datetime"
"10","Last Referenced Date","datetime"
"11","AO Diagnostic","reference"
"12","Implementation Year","picklist"
"13","Recommendation Name","string"
"14","Recommendation","reference"
"15","Year","picklist"
"16","Maintenance / Investment Cost","double"
"17","Input cost","double"
"18","Labor cost","double"
"19","Plot Income","double"
"20","Plot P&L","double"
