"","label","type"
"1","Record ID","id"
"2","Deleted","boolean"
"3","Smart internal inspection - reports Name","string"
"4","Created Date","datetime"
"5","Created By ID","reference"
"6","Last Modified Date","datetime"
"7","Last Modified By ID","reference"
"8","System Modstamp","datetime"
"9","Last Activity Date","date"
"10","Last Viewed Date","datetime"
"11","Last Referenced Date","datetime"
"12","Question 1","string"
"13","Standard","reference"
"14","Value 1","picklist"
"15","Standard compliance","picklist"
"16","Smart internal inspection - Taro","reference"
"17","Photo 1","url"
"18","Question 2","string"
"19","Compliance indicator","double"
"20","Compliance","string"
"21","Compliance count","double"
"22","Question 3","string"
"23","Question 4","string"
"24","Value 2","string"
"25","Value 3","string"
"26","Value 4","string"
"27","Photo 2","url"
"28","Photo 3","url"
"29","Photo 4","url"
"30","Question 5","string"
"31","Value 5","string"
"32","Photo 5","url"
