"","label","type"
"1","Record ID","id"
"2","Deleted","boolean"
"3","Smart internal inspection Name","string"
"4","Created Date","datetime"
"5","Created By ID","reference"
"6","Last Modified Date","datetime"
"7","Last Modified By ID","reference"
"8","System Modstamp","datetime"
"9","Last Activity Date","date"
"10","Last Viewed Date","datetime"
"11","Last Referenced Date","datetime"
"12","II - Farmer","string"
"13","Test standard","picklist"
"14","2-Type of planting material","multipicklist"
"15","Adoption observations collected","picklist"
"16","Land approved for agriculture","picklist"
"17","Land approver for agriculture (p)","url"
"18","Suitable varieties new planting","picklist"
"19","Suitable varieties new planting (p)","url"
"20","Planting follow suitable crop pattern","picklist"
"21","Planting follow suitable crop patter (p)","url"
"22","Farm","reference"
"23","Prunning and removal","picklist"
"24","Prunning and removal (p)","url"
"25","Weeds controlled properly","picklist"
"26","Weeds controlled properly (p)","url"
"27","Renovation when necessary","picklist"
"28","Renovation when necessary (p)","url"
"29","Diversification practiced","picklist"
"30","Diversification practiced (p)","url"
"31","Soil conservation techniques used","picklist"
"32","Soil conservation techniques used (p)","url"
"33","Measures to improve soil fertility","picklist"
"34","Measures to improve soil fertility (p)","url"
"35","2-Number improved planting material","double"
"36","Sewage in plots (p)","url"
"37","Sewage in plots","picklist"
"38","Animal fertilizer correctly stored","picklist"
"39","Animal fertilizar correctly stored (p)","url"
"40","IPM implemented and documented","picklist"
"41","IPM implemented and documented (p)","url"
"42","GPS location (Latitude)","double"
"43","GPS location (Longitude)","double"
"44","GPS location","location"
"45","Banned pesticides use","picklist"
"46","Banned pesticides use (p)","url"
"47","Records apps inorganic fert","picklist"
"48","Records apps inorganic fert (p)","url"
"49","Hazardous agrochemicals training","picklist"
"50","Hazardous agrochemicals training (p)","url"
"51","Agrochemicals safely disposed","picklist"
"52","Agrochemicals safely disposed (p)","url"
"53","Re-entry times observed","picklist"
"54","Re-entry times observed (p)","url"
"55","Pesticides pre-harvest intervals","picklist"
"56","Pesticides pre-harvest intervals (p)","url"
"57","Containers safely managed","picklist"
"58","Containers safely managed (p)","url"
"59","Agrochemicals safely managed","picklist"
"60","Agrochemicals safely managed (p)","url"
"61","Safe agrochemicals facilities","picklist"
"62","Safe agrochemicals facilities (p)","url"
"63","Sustainably sourced irrigation","picklist"
"64","Sustainably sourced irrigation (p)","url"
"65","Good storage, handling, processing","picklist"
"66","Good storage, handling, processing (p)","url"
"67","No forced labor","picklist"
"68","No forced labor (p)","url"
"69","No worst child labor","picklist"
"70","No worst child labor (p)","url"
"71","Encourage school attendance","picklist"
"72","Encourage school attendance (p)","url"
"73","Min wage or higher","picklist"
"74","Min wage or higher (p)","url"
"75","Submission","reference"
"76","Count II visits","double"
"77","Approved","boolean"
"78","Certification readiness","picklist"
"79","Standards complied","double"
"80","Standards evaluated","double"
"81","Perc. standards complied","percent"
"82","2-Pruning activities","picklist"
"83","Agrochemicals safely stored (p)","url"
