"","label","type"
"1","Record ID","id"
"2","Deleted","boolean"
"3","Plot Name","string"
"4","Created Date","datetime"
"5","Created By ID","reference"
"6","Last Modified Date","datetime"
"7","Last Modified By ID","reference"
"8","System Modstamp","datetime"
"9","Last Viewed Date","datetime"
"10","Last Referenced Date","datetime"
"11","Farm_BL","reference"
"12","Farm Name","string"
"13","Farmer","string"
"14","Plot GPS (Latitude)","double"
"15","Plot GPS (Longitude)","double"
"16","Plot GPS","location"
"17","Plot Age","double"
"18","Plot Area","double"
"19","Submission","reference"
"20","Estimated production","double"
"21","Number of shade trees","double"
"22","Farm","reference"
"23","Count plot","double"
"24","FDP submission","reference"
"25","PlotName","string"
"26","Total input cost","double"
"27","Total labor cost","double"
"28","Total cost","double"
"29","Distance Between Cocoa Trees","string"
